,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.882133,2.1027114,-1.3886728,-0.34009302,1.1762998,-1.190008,5.5734406,-1.098767,0.10969292,1.3087716,-1.8438653,-2.007717,0.40568405,-1.1077034,-0.9442087,1.8070494,1.317185,3.1407843,-0.29234523,-0.27162254
1,0.63134396,1.2630738,-1.0951469,-0.7798266,0.9173556,-0.39180577,2.3942084,-2.0154724,-0.43575263,0.97749937,-1.5339797,-0.66184646,1.3008561,-1.0496128,-0.33849445,0.4750468,0.88346964,1.3304809,-1.0965451,-0.12941265
2,0.6204647,1.3195293,-1.0522656,-0.59878117,0.9093475,-0.57147694,2.852604,-1.6194065,-0.30662414,0.95602083,-1.4737765,-0.9337334,1.0401772,-0.9787164,-0.4468387,0.7319099,0.894106,1.6055765,-0.8089571,-0.15528244
3,0.8671677,1.3452426,-1.6312606,-2.0801086,1.2412254,1.0330107,0.41675508,-5.2712374,-1.3082901,1.1538223,-2.143752,1.2720623,3.1653266,-1.691576,0.29087356,-1.1097274,1.1541106,-0.1542686,-3.4903734,-0.20318614
4,0.5711298,1.2052132,-0.9869481,-0.6650482,0.86567277,-0.4442706,2.3789163,-1.7015843,-0.3762592,0.89429724,-1.4352437,-0.6963498,1.173164,-0.9675697,-0.35449997,0.5433521,0.845221,1.3435457,-0.92810804,-0.15623881
5,0.8738754,2.0675712,-1.3799629,-0.34886873,1.1661327,-1.1540918,5.466359,-1.1243777,0.105802916,1.2837058,-1.8209692,-1.9606125,0.44073504,-1.1107235,-0.91577834,1.7686744,1.2898343,3.0836897,-0.29972142,-0.2577826
6,0.94843364,2.2274022,-1.4850242,-0.36292005,1.2342852,-1.2345479,5.898446,-1.1764245,0.14818552,1.3724707,-1.9108945,-2.103767,0.38604736,-1.164726,-0.9921135,1.8969605,1.4027597,3.3096673,-0.30389398,-0.27059674
7,0.5893847,1.2404692,-1.0274444,-0.650953,0.87426287,-0.5021895,2.505355,-1.6905565,-0.3599078,0.93452764,-1.4470661,-0.7976449,1.1287329,-0.9623865,-0.37101176,0.5837493,0.85388136,1.425169,-0.88775283,-0.12950546
8,0.5996524,1.2185735,-1.0244405,-0.6803668,0.88510865,-0.48772466,2.4330058,-1.7658083,-0.3881421,0.93602383,-1.4643232,-0.7645954,1.1744262,-0.98837733,-0.35928488,0.5644916,0.8421204,1.3754125,-0.93411165,-0.12924606
9,0.8540008,1.3122702,-1.6078303,-2.0514195,1.224122,1.0143385,0.40548646,-5.181397,-1.267087,1.1393092,-2.1206746,1.2533424,3.121849,-1.6790922,0.28235057,-1.0874653,1.1329323,-0.15795907,-3.429187,-0.18187669
10,0.61400557,1.2640474,-1.0667737,-0.6994538,0.9031988,-0.47072834,2.50568,-1.8145428,-0.38521916,0.95992684,-1.4903808,-0.78463423,1.1884437,-1.000895,-0.3766913,0.5666358,0.87689185,1.4219023,-0.95850414,-0.12136842
11,1.0041248,2.3357024,-1.5566611,-0.3819204,1.2739981,-1.2722936,6.245076,-1.1965928,0.17487484,1.4364175,-1.9749888,-2.218781,0.32647747,-1.2005631,-1.047628,1.9949479,1.4772307,3.4991302,-0.28481036,-0.2834133
12,0.99193335,2.3569925,-1.5525541,-0.37068838,1.3061522,-1.3202002,6.318629,-1.1849773,0.17817318,1.4647148,-2.0160537,-2.2763984,0.3408985,-1.2311444,-1.0681376,2.0381498,1.4911245,3.5751457,-0.25350994,-0.28051502
13,0.85587215,1.330357,-1.5956402,-2.0191648,1.2259163,0.9824335,0.49550223,-5.11838,-1.2575648,1.1458519,-2.1172988,1.2044003,3.0847366,-1.6702796,0.26434758,-1.0430973,1.1349167,-0.098602265,-3.3906007,-0.19671759
