,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,6.975451,8.68717,3.9524624,8.46752,1.8705463,3.227883,2.252662,2.3253832,14.7029705,2.095838,6.4345093,5.0389876,2.7775488,6.5817275,3.6598442,12.055686,9.693603,1.7982982,2.1565976,7.519115
1,10.881656,13.57772,6.200603,13.239986,2.9624376,5.085203,3.5644393,3.6740131,22.984695,3.312162,10.043162,7.889815,4.3749504,10.287919,5.7465053,18.859001,15.129599,2.8485734,3.4106722,11.741535
2,8.26165,10.298618,4.693266,10.038449,2.2302427,3.8391461,2.684745,2.7694182,17.429018,2.496394,7.6220965,5.9776525,3.3031461,7.8029437,4.3469505,14.294384,11.48242,2.1438472,2.5692248,8.910148
3,9.026463,11.255405,5.1325836,10.973596,2.4440088,4.2030535,2.9411838,3.0338235,19.051722,2.7345371,8.329887,6.5363727,3.6162355,8.528346,4.7556596,15.627189,12.547637,2.349634,2.815197,9.736899
4,7.599452,9.469166,4.310898,9.227592,2.0442264,3.5247645,2.4619396,2.5407429,16.024744,2.290061,7.0105643,5.4929123,3.0324612,7.17321,3.9925344,13.14132,10.560029,1.9660678,2.3567822,8.193848
5,4.529962,5.625698,2.5455754,5.4794445,1.1870596,2.0655246,1.4314722,1.480234,9.519411,1.334545,4.175296,3.2539344,1.7770314,4.2627206,2.3539085,7.79634,6.2889524,1.140954,1.3718963,4.8758445
6,10.691386,13.339912,6.0911317,13.007311,2.9093199,4.995256,3.5003781,3.6087146,22.58159,3.2532477,9.86774,7.751005,4.296803,10.107586,5.6442165,18.527714,14.865579,2.7973135,3.3498178,11.535814
7,12.502716,15.607107,7.1332645,15.221008,3.4156551,5.855379,4.1094,4.2343535,26.42201,3.8165746,11.539893,9.073819,5.037851,11.82639,6.6115556,21.682266,17.383896,3.284022,3.9310071,13.494547
8,5.242254,6.518205,2.954359,6.348636,1.3860528,2.4041,1.6707064,1.726844,11.027592,1.5562907,4.833167,3.7732196,2.0683393,4.9385257,2.7339377,9.034986,7.2795887,1.3320224,1.5998821,5.6450086
9,4.297284,5.334117,2.4111297,5.1946135,1.1216831,1.9543989,1.3535656,1.3998935,9.024921,1.2620552,3.959592,3.0843263,1.681925,4.0407376,2.2298515,7.38993,5.9647927,1.0782613,1.2969189,4.624768
10,14.848472,18.545937,8.483265,18.087152,4.0714045,6.971231,4.896632,5.04466,31.396427,4.5476084,13.7078495,10.785868,5.997275,14.051135,7.8653545,25.769169,20.650166,3.9149973,4.6842527,16.030226
11,5.8417964,7.267067,3.3000934,7.0822067,1.553369,2.68913,1.8722341,1.933612,12.300564,1.7428154,5.387004,4.2116747,2.31442,5.5069346,3.0544355,10.080385,8.114984,1.4936697,1.7927256,6.293862
12,7.0401206,8.767572,3.989539,8.545294,1.8885032,3.2587042,2.2746284,2.3468897,14.83959,2.1157718,6.4928246,5.085162,2.8035176,6.6434665,3.6944177,12.165858,9.782247,1.8156312,2.1773806,7.588195
13,7.555389,9.413595,4.2865787,9.175411,2.0329695,3.5032346,2.4472911,2.5253994,15.932999,2.2764623,6.9689074,5.462033,3.0146234,7.1325793,3.9702117,13.065,10.500119,1.9541955,2.3427863,8.145477
14,0.8528668,1.0230923,0.42977178,0.9889606,0.16047643,0.31851116,0.19785458,0.21126236,1.7279744,0.19091095,0.7783197,0.57001925,0.27434132,0.7748594,0.39089543,1.3950454,1.1728512,0.15360671,0.19214542,0.902067
15,6.9186797,8.614477,3.9191124,8.397526,1.8545656,3.2002766,2.2327745,2.3056445,14.580524,2.077335,6.3804936,4.9964066,2.753729,6.526712,3.62937,11.954563,9.611966,1.7829484,2.1378345,7.457129
16,9.546182,11.906109,5.4320097,11.607679,2.5890818,4.449353,3.1159828,3.2128744,20.15269,2.896486,8.808359,6.9150095,3.8282223,9.020448,5.0324917,16.532278,13.269785,2.4890115,2.9818585,10.297859
17,15.923862,19.892405,9.102681,19.401224,4.3723516,7.482221,5.2578897,5.4155655,33.676117,4.882642,14.701726,11.571548,6.437336,15.072404,8.439261,27.641443,22.147753,4.2041955,5.0295935,17.193819
18,13.719194,17.131319,7.8338213,16.707283,3.7556636,6.4345474,4.5180717,4.654217,29.00192,4.1956425,12.664775,9.962123,5.535658,12.980271,7.2623167,23.801908,19.079422,3.6111796,4.3221655,14.809336
19,2.8609974,3.5344043,1.584914,3.4397695,0.71996564,1.2717001,0.8702798,0.9038897,5.9786367,0.81443214,2.63317,2.0354917,1.094675,2.67852,1.4625533,4.8869724,3.9658146,0.6919429,0.8357625,3.0712173
20,13.95106,17.422205,7.9673433,16.991173,3.8205464,6.544931,4.5955257,4.7343707,29.491724,4.2681,12.87996,10.130466,5.6303005,13.200787,7.38542,24.204765,19.401363,3.6734235,4.396263,15.060488
21,1.842368,2.260897,0.99900335,2.1960545,0.4357556,0.78772813,0.52896625,0.552576,3.8222513,0.4977424,1.6929702,1.2928336,0.67849886,1.7129982,0.9189568,3.11478,2.5493085,0.41822046,0.5085219,1.9712383
22,1.569209,1.9166853,0.8413744,1.8612761,0.35924438,0.6575002,0.43681446,0.4576687,3.240181,0.41222692,1.4388081,1.0923162,0.5661359,1.4527873,0.7722146,2.637122,2.167193,0.34488606,0.42095578,1.6744051
23,7.48968,9.332052,4.248929,9.096073,2.0143287,3.4729664,2.4256465,2.5025616,15.795185,2.256437,6.9101233,5.414369,2.9877403,7.07071,3.9353373,12.951951,10.409862,1.9365505,2.32231,8.075781
24,8.967892,11.181343,5.0997286,10.9016485,2.4277494,4.175062,2.921965,3.0135345,18.928164,2.716392,8.274396,6.4941483,3.5925658,8.473199,4.724357,15.52572,12.466285,2.3342168,2.7963476,9.673848
25,10.142663,12.653566,5.775341,12.33642,2.7557135,4.7332287,3.3165362,3.4189003,21.417673,3.0817976,9.360402,7.350499,4.0732536,9.585805,5.351423,17.570862,14.099355,2.649607,3.173141,10.943565
