,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-1.0174196,1.7084208,-1.9348251,0.4171688,1.9450047,-2.054723,2.418957,-1.464564,0.76129705,0.2788549,-2.2281244,0.64707005,1.5460902,-1.8268963,-1.9258589,2.0928323,1.8432807,2.073482,-1.4179039,-1.9541106
1,-2.0948462,-2.026588,1.2801265,0.6094444,1.1160095,-3.3090017,2.653739,2.9087195,3.1304398,-0.85192746,-0.437508,-1.9235451,-3.187058,1.5227674,-3.4534452,3.7151132,0.22363088,2.8695812,2.8154335,-3.1187232
2,-1.0380211,1.7099128,-1.939229,0.42833257,1.9370039,-2.02582,2.4153295,-1.4715463,0.79561394,0.25562084,-2.2302709,0.6780812,1.5498277,-1.8095671,-1.9149837,2.0713623,1.8423362,2.0553524,-1.4468615,-1.9747155
3,2.130276,1.4933083,1.0684414,-2.9303522,-1.3297038,2.5455425,-2.9488358,0.33959106,-2.9113078,1.0874181,1.0335532,-1.3438051,2.9008226,-1.8026648,-0.80780876,-3.0462592,1.804381,-1.1394169,1.1911557,-1.2679019
4,-1.0132427,1.6587086,-1.914854,0.38916874,1.9434816,-2.0304577,2.4266086,-1.4433933,0.7750088,0.26427165,-2.2332466,0.625399,1.5157329,-1.7895362,-1.9052137,2.0749826,1.8196944,2.0437768,-1.3988214,-1.983024
5,-1.0298251,1.7120583,-1.9542658,0.40023482,1.9619088,-2.0635068,2.4295685,-1.4777114,0.7755084,0.27091205,-2.2424552,0.6389953,1.5491297,-1.8222159,-1.9402299,2.0890179,1.8632736,2.0934188,-1.4155953,-1.9546432
6,-1.0369517,1.7086513,-1.9440979,0.42205185,1.9482588,-2.0611024,2.432775,-1.4700636,0.78672194,0.2618769,-2.233777,0.6492683,1.5408605,-1.8135966,-1.9331677,2.0872116,1.8496985,2.0855534,-1.4235051,-1.9595091
7,-2.3690307,-1.512666,1.9889579,2.522524,-2.0596375,-0.17516485,2.325243,1.8630925,2.530326,-2.3684602,1.4854823,1.8853908,-1.6182303,1.6554872,-0.6315816,1.6921672,-0.7659026,-0.8636163,-0.84470165,-2.3010988
8,-2.42865,-1.5695763,2.021031,2.526138,-2.0864768,-0.13254386,2.2947876,1.8635412,2.54582,-2.4140928,1.5286955,1.937859,-1.6190976,1.7132198,-0.58348453,1.6666654,-0.806382,-0.916852,-0.8707748,-2.288024
9,2.6507497,2.4078813,-2.570222,-2.2900128,2.5255365,1.8832526,-0.35004342,-2.771121,-2.0790448,2.3402107,-2.355726,-0.27961814,2.3681412,-2.3890417,2.0931485,-1.4558619,0.2909786,-1.0196388,-2.453503,-0.43636686
