,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-1.8268481,0.7423637,-0.52090776,-1.1196917,-0.38746384,1.8051448,1.0216534,-0.9878613,-0.27936238,1.081862,0.92605394,-1.0508376,0.042486154,1.9312259,-0.21656518,1.5627073,1.3773689,-1.6853905,-1.211081,-0.7901746
1,-1.7543161,0.7186684,-0.5303913,-1.0929551,-0.36970302,1.7476965,1.0369558,-0.9431262,-0.2850497,1.0287793,0.8575049,-0.980357,0.043789607,1.869375,-0.23238261,1.5320288,1.340456,-1.5975299,-1.1956497,-0.80607855
2,-1.8077066,0.71843576,-0.5251366,-1.1283722,-0.38907078,1.7797501,1.0182936,-0.99228835,-0.2630562,1.0547471,0.8931341,-1.0347993,0.058445014,1.9107466,-0.22507893,1.5612943,1.3688538,-1.649313,-1.2031238,-0.8020352
3,0.44335675,-1.3551384,-1.1447626,-1.556249,-0.62588817,-1.9808443,-0.7904693,-1.3591242,1.8051246,-2.2186403,-0.69892836,0.1376482,2.209438,-1.3341695,-0.5045519,0.37045756,-1.120058,2.5276875,2.6511297,-0.6033217
4,-1.7845709,0.6915602,-0.527554,-1.1367649,-0.3932809,1.7496935,1.0130112,-0.99516034,-0.24539942,1.0216963,0.8570835,-1.0149771,0.074638754,1.8845826,-0.23036878,1.5566677,1.3584139,-1.6083531,-1.1892929,-0.81112075
5,-1.8399404,0.76126045,-0.5179518,-1.1130475,-0.38428664,1.8213432,1.0220388,-0.98153687,-0.29209894,1.098413,0.9484667,-1.0621983,0.03248612,1.9427634,-0.20867352,1.5616406,1.3821043,-1.7073007,-1.2149394,-0.780455
6,-1.8145738,0.72683287,-0.5236883,-1.1256099,-0.38879803,1.7890162,1.0196147,-0.9910221,-0.26851872,1.0646338,0.9050734,-1.0406884,0.0528614,1.9183651,-0.22252147,1.5619406,1.3720335,-1.6624273,-1.2061832,-0.7980453
7,-1.8188461,0.73220336,-0.52262604,-1.1235789,-0.3884574,1.7945607,1.0202125,-0.9899688,-0.2721465,1.0707502,0.9124505,-1.0443251,0.049311534,1.9228286,-0.2205066,1.5621916,1.3740312,-1.6704977,-1.2078732,-0.7953352
8,-1.7244225,0.6805758,-0.5261246,-1.0978919,-0.3851123,1.7072182,1.0228344,-0.94529223,-0.26302207,0.98858625,0.8206241,-0.9501336,0.061361797,1.8362075,-0.23204131,1.5190965,1.3236322,-1.5515252,-1.169965,-0.8140266
9,0.41199857,-1.3725432,-1.1063356,-1.5604632,-0.65837276,-1.9119931,-0.7360517,-1.350951,1.762856,-2.1762862,-0.719899,0.15881383,2.1549346,-1.2666973,-0.4854092,0.38725433,-1.0469157,2.4344018,2.5408158,-0.6230159
10,-1.0278994,-0.23065993,-0.5415819,-1.2684673,-0.6531061,0.81365055,0.89197016,-1.1391438,0.23748255,-0.06925159,-0.0054615326,-0.45857087,0.5554883,1.1764194,-0.2860911,1.2974514,0.98931473,-0.45560956,-0.4468153,-1.0674814
11,-1.0278994,-0.23065993,-0.5415819,-1.2684673,-0.6531061,0.81365055,0.89197016,-1.1391438,0.23748255,-0.06925159,-0.0054615326,-0.45857087,0.5554883,1.1764194,-0.2860911,1.2974514,0.98931473,-0.45560956,-0.4468153,-1.0674814
12,-1.8513238,0.77910566,-0.51690674,-1.1103674,-0.37808308,1.8325326,1.0223609,-0.97421694,-0.30439758,1.1083608,0.9739578,-1.0738934,0.024739407,1.9570384,-0.20430543,1.5592332,1.3853333,-1.7235272,-1.2139322,-0.7724706
13,0.43520263,-1.3596896,-1.1346717,-1.557296,-0.63437635,-1.9628646,-0.7763032,-1.3568956,1.7940372,-2.2075949,-0.70445913,0.14321262,2.1951392,-1.3165516,-0.49948114,0.37477508,-1.1009401,2.5033216,2.62234,-0.60841656
14,-1.8449515,0.7769691,-0.51915294,-1.1091288,-0.3749843,1.8268273,1.024729,-0.9707891,-0.30293947,1.10291,0.96799666,-1.0682983,0.024993617,1.9520748,-0.20789434,1.5576695,1.3814952,-1.7155557,-1.2131908,-0.77574205
15,-1.0278994,-0.23065993,-0.5415819,-1.2684673,-0.6531061,0.81365055,0.89197016,-1.1391438,0.23748255,-0.06925159,-0.0054615326,-0.45857087,0.5554883,1.1764194,-0.2860911,1.2974514,0.98931473,-0.45560956,-0.4468153,-1.0674814
16,0.56571805,-1.2944622,-1.2918346,-1.5460275,-0.50361174,-2.2564654,-1.0047486,-1.3972173,1.9748348,-2.392836,-0.6185299,0.05234721,2.42729,-1.5957757,-0.57896477,0.30733278,-1.4059567,2.8968601,3.0902162,-0.5305393
17,-1.0278994,-0.23065993,-0.5415819,-1.2684673,-0.6531061,0.81365055,0.89197016,-1.1391438,0.23748255,-0.06925159,-0.0054615326,-0.45857087,0.5554883,1.1764194,-0.2860911,1.2974514,0.98931473,-0.45560956,-0.4468153,-1.0674814
18,-1.0278994,-0.23065993,-0.5415819,-1.2684673,-0.6531061,0.81365055,0.89197016,-1.1391438,0.23748255,-0.06925159,-0.0054615326,-0.45857087,0.5554883,1.1764194,-0.2860911,1.2974514,0.98931473,-0.45560956,-0.4468153,-1.0674814
19,-1.0278994,-0.23065993,-0.5415819,-1.2684673,-0.6531061,0.81365055,0.89197016,-1.1391438,0.23748255,-0.06925159,-0.0054615326,-0.45857087,0.5554883,1.1764194,-0.2860911,1.2974514,0.98931473,-0.45560956,-0.4468153,-1.0674814
20,-1.797355,0.75798225,-0.53197867,-1.0932593,-0.35912225,1.7927225,1.0447874,-0.9483483,-0.30350226,1.0699276,0.9123421,-1.0248142,0.027601909,1.9129275,-0.22670154,1.5448691,1.3576908,-1.6556896,-1.2120358,-0.79482424
21,-1.0278994,-0.23065993,-0.5415819,-1.2684673,-0.6531061,0.81365055,0.89197016,-1.1391438,0.23748255,-0.06925159,-0.0054615326,-0.45857087,0.5554883,1.1764194,-0.2860911,1.2974514,0.98931473,-0.45560956,-0.4468153,-1.0674814
22,0.32050943,-1.4218885,-0.99778914,-1.5746671,-0.7518359,-1.7139151,-0.5765964,-1.3314797,1.6441168,-2.0544534,-0.7777718,0.21867195,2.0012767,-1.0728468,-0.43256903,0.4383334,-0.83652675,2.1662426,2.2223127,-0.6810875
