,0,1,2,3,4,5,6,7,8,9
0,-0.84891695,0.067238525,0.30404714,-0.25193703,1.518787,-0.900666,0.10861044,-0.022147864,-0.07212131,-0.3732492
1,-1.1746366,-0.21155456,0.4091115,-0.5549348,1.9039923,-1.1499211,0.26677704,0.1948778,0.04965343,-1.0305514
2,0.14631496,0.10281779,-0.4048567,0.053803764,0.3894667,0.08906516,-1.7696886,-0.11353773,0.06000397,0.22184178
3,-2.762587,-0.4332595,0.72987205,-1.2804548,4.5196958,-2.519918,0.39358065,0.4127267,0.0869029,-2.3962078
4,-0.9729582,0.06723036,0.34914675,-0.2746986,1.607882,-1.0385293,0.14077508,-0.032342434,-0.059617866,-0.4649761
5,-0.3732063,-0.35726792,1.0819966,0.69127953,-0.45332748,-1.1505595,1.3687482,0.12222226,-0.8424332,-1.1457154
6,0.21512377,0.15118405,0.24127176,-0.4572582,-1.070816,-0.035646662,0.5487774,0.32994974,0.40887183,0.11597108
7,0.26535434,0.31669092,-0.6772062,0.57218635,-1.593666,0.5663782,-0.49358827,0.18067962,-0.56319225,0.15564907
8,0.39528853,0.52174914,-1.0298429,0.9212789,-2.5106473,0.9228989,-0.85371596,0.25648636,-1.0404834,0.28951854
9,-0.37151036,0.02809383,-0.25649568,-0.10486648,1.452571,-0.5730977,-0.70770425,-0.25774038,-0.21353441,0.6975007
10,-0.71120375,0.8672861,-0.530433,0.45575306,1.6083926,-0.80778456,-0.77383906,-1.2232574,-0.40508538,1.880009
11,-0.6917221,0.800056,-0.54024464,0.40482602,1.6454035,-0.7587847,-0.83150613,-1.1602589,-0.40695193,1.7780801
12,-6.360923,-2.4652693,-18.487331,2.6671102,6.766296,1.8641244,-2.5301151,-2.0814118,-4.9602814,-2.7840207
13,-1.1485964,-0.7694958,-2.5102017,0.86642206,0.5265454,-0.038979903,0.6579309,0.16369188,-0.14316265,-0.6952165
14,0.36277378,0.9427438,-4.104609,-2.4226832,7.7846065,1.0206088,-6.20667,-3.092252,-1.5501055,-0.3107731
15,0.50556266,-0.67086464,0.6724393,0.23382542,1.3680253,0.96059364,-0.5751563,0.37574524,0.7594351,-0.18762979
16,1.5537894,-0.8761187,0.26821327,-0.4973433,4.424502,2.6387,-3.013422,-0.227666,3.2619758,-1.1889952
17,0.31649965,-0.45814306,0.46115765,0.12884611,0.95134383,0.62305164,-0.3743871,0.28527647,0.4914892,-0.14618903
18,0.39279336,-1.0770899,2.6794918,2.1056235,1.2749249,2.3828723,0.46174228,0.51120645,-0.89882493,0.2522306
19,0.6970958,0.8158592,-2.2659492,0.3703772,1.3327432,0.4894985,-8.300349,-0.9991895,0.0860921,1.1380452
20,-0.18354377,-0.21341996,0.4627173,0.24762622,-0.09220565,-0.4455415,0.54874295,0.116313905,-0.28757122,-0.4760271
21,-0.19834648,-0.22428222,0.51044923,0.28164437,-0.120343395,-0.50036967,0.6119856,0.11675815,-0.3303167,-0.527588
22,-0.8461004,0.046239994,0.31599668,-0.2757654,1.485575,-0.8920362,0.09611304,0.0050330907,-0.057923805,-0.42565054
23,-0.1300538,-0.17771497,0.29557455,0.11318713,0.020969644,-0.25671762,0.31808138,0.12204641,-0.1313986,-0.30578217
24,-0.44907033,-0.15679577,0.27613536,-0.1991648,0.6434068,-0.47093374,0.23847044,0.12100047,0.02026429,-0.42781496
25,-0.39601916,0.12001845,0.13935117,0.011994069,0.5986609,-0.58389044,-0.00873371,-0.21578147,-0.057744678,0.29057643
26,-1.266611,2.6127732,-1.1924677,1.8827118,2.6501627,-1.8011178,-1.3456223,-3.5163567,-0.7295511,5.2207975
27,-1.2486761,-0.49883658,-3.9658282,0.4078552,1.8627189,0.44294006,-1.0882809,-0.5166917,-1.1267084,-0.56877744
28,-2.869843,-1.0330392,-8.996197,0.94646764,3.9783378,0.9870445,-2.3035002,-1.3280617,-2.6106858,-1.1698862
29,-6.6082053,-2.311751,-20.251362,2.3994987,8.235764,2.1944683,-4.4486423,-2.9442961,-5.806432,-2.6202953
30,1.1865791,-0.34644288,0.36345142,2.4196231,4.4235687,4.4157324,-0.669043,-0.282821,-1.9337538,-2.1098466
31,2.6407425,-0.30746502,-1.4128643,4.2319384,9.75948,9.147153,-2.5132833,-1.4106027,-3.5907688,-4.964671
32,2.7402954,-0.27907532,-1.729636,4.2207727,10.184563,9.435389,-2.7891788,-1.5618938,-3.617946,-5.2343225
33,1.9570524,-0.24064155,-0.9370836,3.2423701,7.385466,6.938914,-1.8346142,-1.0236146,-2.7822428,-3.7318196
34,1.5720364,-0.42457986,0.43504906,3.1904042,5.755857,5.7987747,-0.87886,-0.41511506,-2.5591614,-2.7513733
