,0
799,5
800,3
801,3
802,7
803,5
804,5
805,1
806,5
807,3
808,5
809,3
810,7
811,7
812,7
813,1
814,5
815,1
816,1
817,1
818,5
819,5
820,1
821,1
822,7
823,7
824,1
825,1
826,5
827,1
828,1
829,5
830,5
831,5
832,7
833,1
834,7
835,1
836,7
837,5
838,5
839,1
840,1
841,5
842,5
843,5
844,5
845,1
846,5
847,5
848,5
849,3
850,1
851,5
852,1
853,5
854,3
855,1
856,3
857,3
858,5
859,3
860,3
861,1
862,1
863,5
864,5
865,1
866,3
867,1
868,3
869,3
870,5
871,7
872,5
873,7
874,1
875,1
876,10
877,1
878,5
879,1
880,1
881,1
882,7
883,5
884,1
885,1
886,3
887,5
888,1
889,5
890,1
891,5
892,5
893,7
894,1
895,7
896,1
897,1
898,7
899,7
900,5
901,1
902,7
903,1
904,1
905,5
906,1
907,1
908,7
909,1
910,5
911,7
912,5
913,5
914,7
915,1
916,1
917,5
918,7
919,3
920,3
921,1
922,5
923,7
924,5
925,5
926,3
927,10
928,5
929,1
930,3
931,3
932,1
933,3
934,1
935,7
936,1
937,5
938,3
939,7
940,1
941,1
942,1
943,1
944,7
945,7
946,5
947,5
948,7
949,10
950,1
951,1
952,5
953,5
954,7
955,7
956,7
957,7
958,10
959,1
960,1
961,3
962,1
963,1
964,10
965,7
966,10
967,5
968,1
969,5
970,1
971,7
972,7
973,7
974,7
975,1
976,5
977,5
978,1
979,7
980,3
981,5
982,1
983,1
984,7
985,7
986,5
987,1
988,10
989,5
990,7
991,1
992,5
993,5
994,5
995,5
996,3
997,3
998,1
999,3
1000,7
1001,7
1002,5
1003,7
1004,7
1005,1
1006,1
1007,1
1008,5
1009,10
1010,1
1011,5
1012,1
1013,1
1014,7
1015,5
1016,1
1017,7
1018,1
1019,5
1020,7
1021,7
1022,1
1023,7
1024,10
1025,1
1026,1
1027,7
1028,3
1029,7
1030,7
1031,7
1032,5
1033,5
1034,10
1035,10
1036,7
1037,1
1038,7
1039,3
1040,1
1041,5
1042,1
1043,1
1044,1
1045,3
1046,7
1047,5
1048,7
1049,3
1050,1
1051,7
1052,7
1053,7
1054,3
1055,7
1056,7
1057,5
1058,3
1059,5
1060,7
1061,7
1062,1
1063,10
1064,1
1065,1
1066,10
1067,1
1068,10
1069,7
1070,1
1071,7
1072,1
1073,7
1074,1
1075,1
1076,1
1077,7
1078,7
1079,5
1080,3
1081,7
1082,7
1083,1
1084,5
1085,10
1086,5
1087,7
1088,5
1089,1
1090,1
1091,7
1092,5
1093,1
1094,1
1095,1
1096,3
1097,3
1098,1
1099,7
1100,1
1101,7
1102,5
1103,7
1104,1
1105,1
1106,7
1107,1
1108,5
1109,1
1110,3
1111,7
1112,1
1113,10
1114,7
1115,1
1116,10
1117,7
1118,7
1119,7
1120,1
1121,5
1122,5
1123,5
1124,3
1125,3
1126,7
1127,5
1128,1
1129,3
1130,5
1131,5
1132,1
1133,1
1134,1
1135,1
1136,1
1137,1
1138,1
1139,5
1140,1
1141,7
1142,1
1143,1
1144,7
1145,5
1146,5
1147,1
1148,1
1149,5
1150,1
1151,7
1152,3
1153,1
1154,5
1155,7
1156,5
1157,5
1158,7
1159,3
1160,1
1161,7
1162,7
1163,5
1164,10
1165,7
1166,5
1167,7
1168,1
1169,5
1170,5
1171,1
1172,0
1173,5
1174,10
1175,1
1176,5
1177,1
1178,3
1179,1
1180,1
1181,1
1182,1
1183,3
1184,5
1185,7
1186,5
1187,1
1188,7
1189,1
1190,7
1191,5
1192,7
1193,1
1194,1
1195,1
1196,1
1197,3
1198,3
1199,5
1200,7
1201,1
1202,5
1203,3
1204,1
1205,7
1206,7
1207,3
1208,5
1209,5
1210,1
1211,1
1212,7
1213,5
1214,1
1215,5
1216,7
1217,1
1218,1
1219,5
1220,3
1221,3
1222,5
1223,5
1224,1
1225,1
1226,7
1227,1
1228,7
1229,5
1230,1
1231,7
1232,5
1233,7
1234,1
1235,5
1236,7
1237,5
1238,1
1239,5
1240,3
1241,5
1242,5
1243,5
1244,1
1245,5
1246,1
1247,1
1248,1
1249,1
